nObserver,cond,nEsti,nDictator,prefDictator,estim,RT,accuracy
26,3,1,1,0.509090909090909,0.1,1.025972,0.590909090909091
26,3,2,1,0.509090909090909,0.555664,2.062371,0.953426909090909
26,3,3,1,0.509090909090909,0.514648,3.707444,0.994442909090909
26,3,4,1,0.509090909090909,0.541016,3.627682,0.968074909090909
26,3,1,16,0.951515151515152,0.1,1.264301,0.148484848484848
26,3,2,16,0.951515151515152,0.836914,3.719472,0.885398848484849
26,3,3,16,0.951515151515152,0.78418,3.666941,0.832664848484848
26,3,4,16,0.951515151515152,0.669922,2.903192,0.718406848484848
26,4,1,7,0.951515151515152,0.1,1.62123,0.148484848484848
26,4,2,7,0.951515151515152,0.719727,4.968466,0.768211848484848
26,4,3,7,0.951515151515152,0.760742,2.491773,0.809226848484848
26,4,4,7,0.951515151515152,0.675781,3.239306,0.724265848484848
26,4,1,8,0.672727272727273,0.1,2.194429,0.427272727272727
26,4,2,8,0.672727272727273,0.306641,2.354046,0.633913727272727
26,4,3,8,0.672727272727273,0.1,2.607977,0.427272727272727
26,4,4,8,0.672727272727273,0.1,4.157251,0.427272727272727
26,4,1,14,0.563636363636364,0.1,1.001498,0.536363636363636
26,4,2,14,0.563636363636364,0.628906,4.987892,0.934730363636364
26,4,3,14,0.563636363636364,0.49707,4.855354,0.933433636363636
26,4,4,14,0.563636363636364,0.543945,3.818721,0.980308636363636
26,4,1,13,0.921212121212121,0.1,1.191054,0.178787878787879
26,4,2,13,0.921212121212121,0.807617,2.076849,0.886404878787879
26,4,3,13,0.921212121212121,0.833984,2.827178,0.912771878787879
26,4,4,13,0.921212121212121,0.743164,1.503103,0.821951878787879
26,1,1,2,0.624242424242424,0.1,1.962164,0.475757575757576
26,1,2,2,0.624242424242424,0.869141,1.628481,0.755101424242424
26,1,3,2,0.624242424242424,0.529297,3.361801,0.905054575757576
26,1,4,2,0.624242424242424,0.59082,2.500847,0.966577575757576
26,1,1,4,1,0.1,0.879503,0.1
26,1,2,4,1,0.567383,4.0836,0.567383
26,1,3,4,1,0.813477,1.900473,0.813477
26,1,4,4,1,1,2.752038,1
26,1,1,10,0.115151515151515,0.1,0.735107,0.984848484848485
26,1,2,10,0.115151515151515,0,4.363103,0.884848484848485
26,1,3,10,0.115151515151515,0,6.659524,0.884848484848485
26,1,4,10,0.115151515151515,0,10.174634,0.884848484848485
26,1,1,5,0.872727272727273,0.1,0.624908,0.227272727272727
26,1,2,5,0.872727272727273,0.892578,3.145604,0.980149272727273
26,1,3,5,0.872727272727273,1,1.99996,0.872727272727273
26,1,4,5,0.872727272727273,0.860352,3.034991,0.987624727272727
27,3,1,14,0.563636363636364,0.582031,33.258673,0.981605363636364
27,3,2,14,0.563636363636364,0.652344,10.805887,0.911292363636364
27,3,3,14,0.563636363636364,0.658203,3.941752,0.905433363636364
27,3,4,14,0.563636363636364,0.523438,7.589283,0.959801636363636
27,3,1,7,0.951515151515152,0.511719,18.544955,0.560203848484848
27,3,2,7,0.951515151515152,0.948242,9.919834,0.996726848484848
27,3,3,7,0.951515151515152,0.048828,5.815756,0.0973128484848484
27,3,4,7,0.951515151515152,0.77832,6.39522,0.826804848484848
27,3,1,2,0.624242424242424,0.517578,7.902381,0.893335575757576
27,3,2,2,0.624242424242424,0,6.858519,0.375757575757576
27,3,3,2,0.624242424242424,1,5.623466,0.624242424242424
27,3,4,2,0.624242424242424,0.253906,7.129532,0.629663575757576
27,3,1,16,0.951515151515152,1,4.937502,0.951515151515152
27,3,2,16,0.951515151515152,0.957031,6.152129,0.994484151515152
27,3,3,16,0.951515151515152,1,5.772235,0.951515151515152
27,3,4,16,0.951515151515152,0.514648,6.043562,0.563132848484848
27,4,1,4,1,0.517578,6.577256,0.517578
27,4,2,4,1,0.523438,6.755869,0.523438
27,4,3,4,1,0.1,2.198781,0.1
27,4,4,4,1,0.271484,6.689038,0.271484
27,4,1,8,0.672727272727273,0.775391,5.880727,0.897336272727273
27,4,2,8,0.672727272727273,0.016602,7.439458,0.343874727272727
27,4,3,8,0.672727272727273,1,10.879489,0.672727272727273
27,4,4,8,0.672727272727273,0.511719,4.942183,0.838991727272727
27,4,1,12,0.478787878787879,1,5.687455,0.478787878787879
27,4,2,12,0.478787878787879,0,5.104528,0.521212121212121
27,4,3,12,0.478787878787879,0.1,4.104794,0.621212121212121
27,4,4,12,0.478787878787879,0.910156,5.454318,0.568631878787879
27,4,1,9,0.757575757575758,0.508789,9.099474,0.751213242424242
27,4,2,9,0.757575757575758,0.1,6.3014,0.342424242424242
27,4,3,9,0.757575757575758,1,4.191649,0.757575757575758
27,4,4,9,0.757575757575758,0,4.222393,0.242424242424242
27,1,1,6,1,0.514648,6.517355,0.514648
27,1,2,6,1,0.77832,9.577065,0.77832
27,1,3,6,1,0.1,4.713469,0.1
27,1,4,6,1,0.514648,7.591428,0.514648
27,1,1,11,0.690909090909091,1,4.462315,0.690909090909091
27,1,2,11,0.690909090909091,1,5.765794,0.690909090909091
27,1,3,11,0.690909090909091,0.491211,12.70149,0.800301909090909
