nDictator,ch,RT,splitL,splitR
3,-1,0.549585,0.582267,0.269428
3,-1,6.875498,0.897626,0.271551
3,-1,3.5749,0.417764,0.872507
3,-1,0.566283,0.412701,0.179824
3,-1,1.307843,0.523066,0.376637
3,1,0.533367,0.032718,0.532563
3,-1,0.550114,0.50563,0.213698
3,-1,0.882992,0.79913,0.976108
3,-1,0.557958,0.593425,0.980379
3,-1,0.48278,0.788664,0.496169
3,-1,0.457916,0.924807,0
3,1,1.149513,0.09648,0.839131
3,1,1.116361,0.069968,0.375383
3,-1,0.616273,0.300611,0.219472
3,1,4.175013,0.428036,0.775725
3,1,0.933472,0.061753,0.202803
3,1,0.75795,0.083743,0.799286
3,-1,0.924749,0.783863,0.928669
3,-1,1.125189,0.892897,1
3,1,5.875285,0.298318,0.902422
3,1,0.733487,0,0.825274
3,1,0.791317,0.09614,0.502227
3,1,2.824789,0.493744,0.761787
3,-1,0.533897,0.727744,0.105379
3,1,0.574586,0.178971,0.789241
3,-1,0.666762,0.489525,0.089512
3,1,1.149717,0.124087,0.979682
3,-1,0.500103,0.316176,0.113043
3,1,0.716307,0.104521,0.772918
3,-1,1.516907,0.088812,0
3,1,3.349809,0.995116,0.163823
3,1,2.258024,1,0.423708
3,1,1.549563,0.000856,0.973888
3,1,1.066159,0.034047,0.902865
3,-1,0.65011,0.184358,0.088702
3,-1,1.882886,0.501652,0.879232
3,1,0.866312,0.987955,0.603444
3,-1,0.749432,0.725566,0.96163
3,-1,0.60007,0.327538,0.097858
3,-1,1.699611,0.816481,0.398987
3,-1,0.757956,0.634412,0.886772
3,-1,0.61626,0.619727,0.099753
3,-1,0.591291,0.810589,0.227577
3,1,2.724776,0.202936,0.913613
3,-1,0.616239,0.709572,0.105047
3,-1,0.500085,0.397265,0.082568
3,1,0.699636,0.207902,0.675897
3,-1,0.616807,0.570359,0.490533
3,1,0.566745,0,0.183174
3,-1,0.524595,0.462416,0
3,1,0.466706,0,0.367382
3,-1,0.491272,0.409614,0.021369
3,-1,0.449622,0.417205,0.021618
3,-1,0.407928,0.579948,0.092779
3,1,0.941324,0.296915,0.495434
3,-1,0.599641,0.76311,0.900681
3,1,0.466237,0.028047,0.575436
3,-1,0.466273,0.718658,0
3,-1,0.474599,0.791126,0.300575
3,1,0.616837,0.22142,0.510084
3,-1,0.52464,0.533917,0.990279
3,1,0.474599,0,0.828511
3,1,0.924661,0.925701,0.502208
3,1,0.491268,0,0.806444
3,-1,0.45793,0.878224,0.092599
3,1,0.449573,0.003971,0.896839
3,1,1.891292,0.976186,0.292271
3,1,1.06635,0.298027,0.487774
3,1,0.616768,0.217881,0.535221
3,1,0.450076,0,0.294446
3,-1,1.63312,0.737912,0.432843
3,-1,0.700573,0.465282,0.314081
3,1,0.633368,0.273415,0.399414
3,-1,1.816277,0.990287,0.189572
3,-1,0.549579,0.67794,0.183455
3,-1,1.557982,0.469643,0.387565
4,1,2.32477,0.597026,0.714859
4,1,1.283115,0.700441,1
4,1,1.499619,0.206746,0.591057
4,1,1.458096,0.399055,0.985312
4,1,1.299562,0,0.927286
4,1,1.207787,0.314331,0.775826
4,1,1.741322,0.886349,1
4,-1,0.850098,0.833703,0.027539
4,1,1.158083,0.291067,0.674119
4,-1,1.167229,0.123176,0.031757
4,-1,1.516947,0.506377,0.404455
4,1,1.341435,0.084892,0.492017
4,-1,2.674838,0.922998,0.801041
4,-1,1.774642,0.684275,0.423552
4,1,1.866355,0.687305,0.823352
4,1,0.891357,0.000173,1
4,-1,1.749641,0.81902,0.29053
4,1,0.682976,0.1127,1
4,1,2.199754,0.499816,0.621572
4,-1,1.367464,0.299734,0.193331
4,-1,1.516261,0.993928,0.933397
4,-1,3.192053,0.879833,0.585109
4,-1,0.949711,0.622782,0.094147
4,-1,1.0414,0.721735,0.503289
4,-1,0.783514,0.790929,0.068334
4,-1,0.950153,0.389342,0
4,1,0.816355,0.506872,1
4,1,3.116545,0.305001,0.380959
4,-1,1.516263,0.492736,0.234302
4,-1,0.916766,0.805566,0.391034
4,-1,1.150672,0.52188,0.013741
4,-1,0.700142,0.495995,0.179003
4,1,0.824497,0.677751,0.991454
4,1,0.908015,0.085157,0.712931
4,1,0.71681,0.120939,0.883674
4,1,1.357887,0.76067,0.928841
4,-1,0.966366,0.809805,0.509951
4,-1,1.383108,1,0.802029
4,1,1.150032,0.373992,0.885437
4,-1,1.757996,0.486904,0.0967
4,-1,1.050148,0.926217,0.193088
4,-1,0.950199,0.824977,0.216523
4,1,1.166442,0.185989,0.783196
4,1,1.041371,0.511929,0.663631
4,-1,1.066388,0.611097,0.193133
4,-1,1.133974,0.607246,0.409284
4,1,1.09099,0.62678,0.790086
4,1,1.583602,0,0.40102
4,-1,1.782973,0.907497,0.478066
4,-1,0.941344,1,0
4,1,2.008038,0.33113,0.487223
4,1,2.483109,0.207912,0.315376
4,-1,1.349587,0.981195,0.889772
4,-1,0.899693,1,0.09418
4,1,0.691263,0.617878,1
4,1,1.200217,0.308705,0.591741
4,-1,0.908064,0.75976,0.10718
4,-1,0.991329,1,0.783113
4,1,0.666286,0.802544,0.998746
4,-1,1.158041,0.726004,0.204603
4,1,0.716329,0.004768,0.580628
