nObserver,cond,nDictator,chDictator,RTDictator,splitL,splitR,chObserver,RTObserver,lastEstim,duration,selfChObserver,selfRTObserver,similarity
4,3,2,1,1.524555,0.082965,1,-1,1.20329,0.447266,1,1,3.026117,0.96969696969697
4,3,2,-1,0.457917,0.41424,1,-1,0.835361,0.447266,0,1,2.207644,0.96969696969697
4,3,2,1,2.058057,0.38374,0.695482,-1,0.699353,0.447266,1,-1,1.486165,0.96969696969697
4,3,15,-1,1.916331,1,0.317288,1,1.552588,0.50293,1,-1,1.258428,0.83030303030303
4,3,15,-1,1.458097,0.69461,0.95746,-1,1.371601,0.50293,1,-1,1.787089,0.83030303030303
4,3,15,-1,0.441267,0.597934,0.094457,-1,0.756644,0.50293,0,-1,1.651785,0.83030303030303
4,3,15,-1,0.450077,0.569434,0,-1,0.503701,0.50293,0,1,1.31671,0.83030303030303
4,3,10,-1,1.92471,0.233369,0.288051,-1,1.619743,0.066406,1,1,1.921055,0.460606060606061
4,3,10,-1,1.650306,0.008676,0.592791,-1,0.672678,0.066406,1,1,1.31671,0.460606060606061
4,3,10,-1,0.432934,0.08856,0.697955,-1,0.554408,0.066406,0,1,2.542736,0.460606060606061
4,3,10,1,0.432911,0.93133,0.117453,1,0.587999,0.066406,0,1,2.231738,0.460606060606061
4,2,4,-1,1.733181,0.991625,0.486475,-1,1.487792,1,1,-1,1.58902,0.654545454545455
4,2,4,-1,3.192053,0.879833,0.585109,-1,0.840983,1,1,1,1.322696,0.654545454545455
4,2,4,1,0.666286,0.802544,0.998746,1,1.008434,1,0,1,2.607768,0.654545454545455
4,2,4,-1,0.650065,0.537315,0.016012,-1,0.591333,1,0,1,1.03667,0.654545454545455
4,2,11,1,2.966579,0.381785,0.771742,-1,1.083207,0.625977,1,1,1.711945,0.963636363636364
4,2,11,1,4.384084,0.288038,0.860615,1,1.688574,0.625977,1,1,2.238435,0.963636363636364
4,2,11,1,0.666854,0,0.420608,1,0.988958,0.625977,0,1,2.546936,0.963636363636364
4,2,11,1,0.624629,0.005939,0.501304,1,0.936983,0.625977,0,1,1.03667,0.963636363636364
4,2,1,-1,0.716748,0.293405,0.015848,-1,1.152614,0.31543,0,-1,1.566013,0.854545454545454
4,2,1,1,0.749576,0.285316,0.513349,1,1.138304,0.31543,0,1,1.355151,0.854545454545454
4,2,1,-1,2.34139,0.881676,0.093733,1,1.354854,0.31543,1,1,2.231738,0.854545454545454
4,2,1,1,4.666785,0.402851,0.587478,1,2.491228,0.31543,1,1,2.028282,0.854545454545454
4,2,9,1,2.958114,0.883084,0.553887,1,1.557423,0.520508,1,1,1.322696,0.896969696969697
4,2,9,1,0.700111,0.10596,0.586946,1,0.877558,0.520508,0,-1,1.651785,0.896969696969697
4,2,9,-1,0.700057,0.210235,0.037963,-1,1.57894,0.520508,0,-1,1.928996,0.896969696969697
4,2,9,-1,4.241698,0.809005,0.393009,1,2.447269,0.520508,1,1,1.711945,0.896969696969697
4,4,3,1,0.466706,0,0.367382,1,0.814677,0.324219,0,1,2.546936,0.933333333333333
4,4,3,1,2.149677,0.238491,0.918021,-1,0.535478,0.324219,1,1,1.461798,0.933333333333333
4,4,3,-1,0.474599,0.791126,0.300575,1,0.81805,0.324219,0,-1,2.648118,0.933333333333333
4,4,3,-1,6.875498,0.897626,0.271551,1,0.867692,0.324219,1,1,2.238435,0.933333333333333
4,4,7,-1,2.683174,0.81274,0.679545,1,1.450831,0.672852,1,-1,3.191239,0.703030303030303
4,4,7,1,3.466676,0.508134,0.992668,-1,0.973183,0.672852,1,-1,1.58902,0.703030303030303
4,4,7,1,0.532977,0.20277,0.868216,1,2.307054,0.672852,0,1,1.461798,0.703030303030303
4,4,7,-1,0.532966,0.689473,0.104801,-1,1.124253,0.672852,0,1,2.542736,0.703030303030303
4,4,12,1,0.624599,1,0.860423,1,1.488705,0.40918,0,-1,2.025954,0.824242424242424
4,4,12,-1,3.774998,0.082238,0.929563,-1,0.791143,0.40918,1,1,2.231738,0.824242424242424
