nObserver,ch,RT,splitL,splitR
6,1,0.533544,0.593388,0.915758
6,-1,0.380027,0.597662,0.081171
6,1,0.67442,0.551473,0.729444
6,1,0.398283,0.118656,0.800153
6,-1,0.386264,0.694113,0
6,1,0.433771,0.196803,0.514055
6,-1,0.419239,0.815216,0.31212
6,-1,0.393239,0.712261,0.177645
6,1,0.412607,0.508398,0.721091
6,-1,0.373168,0.864845,0.810276
6,1,0.664594,0.502668,0.903035
6,1,0.433014,0.597787,0.995762
6,-1,0.410649,0.499757,0.148474
6,-1,1.007003,0.600011,0.479016
6,1,0.503329,0.006986,0.403779
6,1,1.08118,0.702386,0.873221
6,1,0.803993,0.181952,0.316448
6,-1,0.466537,0.834119,0.229331
6,1,0.692825,0.397354,0.892429
6,1,0.453565,0.413768,1
6,-1,0.445241,0.6183,0.042842
6,1,0.897864,0.418809,0.582652
6,-1,1.275683,0.802085,0.691177
6,1,1.023252,0.304783,0.387982
6,1,0.916767,0.300376,0.495372
6,-1,0.537279,0.20354,0.03654
6,1,0.754688,0.59363,0.78916
6,-1,0.432826,0.613708,0.288972
7,-1,2.335296,0.786601,0.40127
7,-1,1.928159,0.804113,0.002604
7,1,2.642775,0.025047,0.617961
7,1,2.696064,0.004638,0.980544
7,1,2.599403,0.089984,0.91551
7,1,2.660568,0.084359,0.29761
7,-1,3.106141,0.407101,0.195761
7,-1,3.281038,0.530698,0.026678
7,-1,3.049242,0.708379,0.186927
7,-1,2.843984,0.485444,0.699483
7,1,5.689616,0.900161,0.282723
7,1,1.946039,1,0.394828
7,-1,1.646046,0.566467,0.91039
7,-1,2.980743,0.91653,0.029208
7,1,4.571906,0.981251,0.295751
7,-1,1.68276,0.379449,0.29219
7,1,2.580369,0.197583,1
7,1,1.120083,0,0.3226
7,-1,4.166671,0.715972,0.289317
7,1,2.182088,0.092742,0.984907
7,1,1.532731,0.990296,0.921454
7,-1,2.819517,0.615427,0.09218
7,1,2.609539,0.336412,0.551002
7,1,1.96388,0.121468,0.381238
7,1,1.955201,0.247347,0.611187
7,1,2.34627,0.807142,0.708579
7,1,3.291803,0.396687,0.606539
7,1,1.721559,0.00397,0.739786
7,1,2.910574,0.661804,0.601547
7,1,3.306567,0.930175,0.38517
7,1,1.707619,0.405425,0.462234
7,1,2.024185,0.909679,0.681571
7,-1,1.144853,0.190305,0
7,1,4.103077,0.196985,0.790845
7,-1,2.86133,0.483007,0.188462
7,-1,1.606549,0.794491,0.080728
7,1,1.299795,0.098108,0.165455
7,-1,0.906629,0.535925,0.759512
7,1,1.022725,0.936514,0.497805
7,-1,1.381002,0.390604,0.683109
7,-1,3.128744,0.60353,0.997824
7,1,2.277718,0.859741,0.762631
7,-1,1.31711,0.304507,0.153689
7,-1,1.816193,0.456388,0.084309
7,1,2.105732,0,0.100506
